sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
36129570010,2022-03-17T06:38:30Z,85,21,21,43,48,58,0.12760180995475112
36118584809,2022-03-16T07:57:30Z,82,22,20,40,88,58,0.1227364185110664
36106943301,2022-03-15T08:57:30Z,77,18,21,38,61,58,0.11080835603996367
36092843572,2022-03-14T07:43:30Z,66,16,20,30,42,58,0.1248339973439575
36081905436,2022-03-13T07:45:00Z,65,20,21,24,29,57,0.1111111111111111
36076559103,2022-03-13T01:51:30Z,62,14,21,27,28,57,0.09923664122137404
36072764025,2022-03-12T14:45:30Z,57,14,15,28,21,56,0.12054794520547946
36068931918,2022-03-12T06:24:30Z,67,17,20,30,54,56,0.1111111111111111
36056012780,2022-03-11T08:27:30Z,71,16,19,36,63,56,0.15342960288808663
36043805561,2022-03-10T07:10:30Z,78,22,21,35,105,57,0.12718204488778054
36027183438,2022-03-09T09:11:30Z,82,22,19,41,114,57,0.13908872901678657
36008605806,2022-03-08T06:56:30Z,69,19,20,30,39,58,0.13933415536374846
35995260051,2022-03-07T08:01:00Z,76,19,18,39,58,57,0.13260219341974078
35982994717,2022-03-06T06:24:30Z,61,16,19,26,10,55,0.11576354679802955
35970053613,2022-03-05T07:31:30Z,69,17,18,34,42,55,0.15995397008055237
35957143700,2022-03-04T08:08:30Z,76,18,19,39,72,55,0.13135985198889916
35941778097,2022-03-03T07:12:30Z,77,18,17,42,44,55,0.1710414902624894
35934034833,2022-03-02T08:46:30Z,81,22,19,40,84,54,0.1300097751710655
35921524197,2022-03-01T07:59:00Z,73,19,19,35,67,54,0.1323529411764706
35904764228,2022-02-28T08:15:30Z,78,21,19,38,59,55,0.16619981325863678
35892908049,2022-02-27T07:40:30Z,75,19,19,37,65,54,0.13393870601589103
35881991994,2022-02-26T09:03:30Z,72,20,19,33,43,55,0.1607361963190184
35868437061,2022-02-25T07:40:30Z,70,18,18,34,60,57,0.15673981191222572
35858212252,2022-02-24T08:25:30Z,78,21,20,37,43,57,0.1180637544273908
35844448273,2022-02-23T07:56:00Z,77,18,21,38,71,58,0.13169845594913715
35831090631,2022-02-22T09:06:00Z,75,17,19,39,45,58,0.1348314606741573
35817791653,2022-02-21T07:14:30Z,69,21,20,28,51,56,0.09898107714701601
35803530800,2022-02-20T08:46:30Z,67,19,16,32,42,56,0.2067553735926305
35797248391,2022-02-19T19:36:30Z,59,19,14,26,20,55,0.12531969309462915
35791039160,2022-02-19T07:07:30Z,69,18,17,34,64,55,0.14872364039955605
35775783158,2022-02-18T07:57:00Z,72,19,19,34,74,56,0.15267947421638017
35761220941,2022-02-17T08:02:30Z,79,21,19,39,63,55,0.13346418056918546
35744549074,2022-02-16T07:18:30Z,84,21,22,41,82,56,0.10232067510548523
35734279430,2022-02-15T09:01:00Z,72,18,19,35,77,56,0.15212765957446808
35718621344,2022-02-14T06:53:00Z,81,20,19,42,61,56,0.15770925110132158
35713932418,2022-02-13T20:00:00Z,56,16,15,25,34,56,0.24675324675324675
35706725863,2022-02-13T08:02:30Z,81,20,18,43,73,56,0.1620016963528414
35694021854,2022-02-12T07:53:30Z,71,17,17,37,76,56,0.20337394564198688
35683305828,2022-02-11T08:47:30Z,70,17,18,35,81,56,0.16637630662020905
35668898506,2022-02-10T08:48:00Z,79,18,17,44,82,55,0.151931330472103
35656452488,2022-02-09T08:48:00Z,73,20,17,36,66,55,0.17174515235457063
35639619348,2022-02-08T07:28:30Z,73,19,19,35,61,54,0.13528138528138528
35625337186,2022-02-07T04:36:00Z,68,20,21,27,33,53,0.07326732673267326
35615373567,2022-02-06T07:57:30Z,76,21,21,34,78,54,0.12145289443813848
35598709411,2022-02-05T08:55:00Z,78,19,20,39,65,55,0.142578125
35588648346,2022-02-04T08:47:30Z,58,17,18,23,58,54,0.1510989010989011
35574773991,2022-02-03T08:50:30Z,74,20,18,36,71,55,0.1815668202764977
35560443610,2022-02-02T07:06:30Z,69,17,19,33,47,54,0.14695340501792115
35544915028,2022-02-01T06:36:30Z,73,21,19,33,52,54,0.12884834663625996
35532741383,2022-01-31T08:51:30Z,74,17,20,37,71,54,0.13886113886113885
35519071609,2022-01-30T09:18:00Z,68,18,18,32,78,53,0.15005727376861397
35506628769,2022-01-29T07:31:30Z,74,20,20,34,68,54,0.12807881773399016
35493591494,2022-01-28T06:54:30Z,76,18,21,37,79,55,0.09578107183580388
35478746068,2022-01-27T08:11:30Z,77,21,18,38,68,55,0.15799086757990868
35463469131,2022-01-26T09:15:30Z,77,21,18,38,64,55,0.15298507462686567
35450216077,2022-01-25T08:05:30Z,78,19,21,38,63,56,0.10945273631840796
35435639990,2022-01-24T08:36:30Z,77,18,19,40,93,57,0.1286727456940223
35422822033,2022-01-23T07:34:00Z,70,17,21,32,59,56,0.09663865546218488
35410825422,2022-01-22T08:29:30Z,76,18,20,38,55,56,0.10564663023679417
35397928210,2022-01-21T09:35:30Z,77,18,20,39,61,56,0.11632453567937438
35386034993,2022-01-20T08:02:30Z,71,18,18,35,75,56,0.11003236245954692
35369852817,2022-01-19T08:47:30Z,79,20,19,40,87,56,0.12993262752646775
35355456810,2022-01-18T07:02:30Z,79,19,20,40,71,56,0.12723449001051526
35341558389,2022-01-17T07:48:00Z,83,22,20,41,97,56,0.11895551257253385
35331273658,2022-01-16T07:36:30Z,76,21,21,34,82,55,0.08871989860583017
35318864638,2022-01-15T07:51:00Z,76,19,21,36,77,55,0.10964912280701754
35305639189,2022-01-14T08:29:00Z,76,17,20,39,59,55,0.1351094196003806
35290012513,2022-01-13T08:41:00Z,77,18,21,38,59,55,0.11984659635666348
35278031408,2022-01-12T08:17:00Z,75,18,19,38,81,55,0.1414141414141414
35263254962,2022-01-11T07:27:30Z,79,21,20,38,47,56,0.13145539906103287
35249021498,2022-01-10T08:42:30Z,73,17,19,37,71,56,0.14484679665738162
35235522633,2022-01-09T07:30:30Z,63,18,18,27,83,56,0.13096446700507614
35223682985,2022-01-08T06:44:30Z,75,19,21,35,65,56,0.09010011123470522
35208332223,2022-01-07T08:11:00Z,79,19,18,42,69,55,0.15751211631663975
35197126975,2022-01-06T07:23:30Z,75,18,21,36,72,55,0.09988518943742825
35178855932,2022-01-05T08:29:00Z,76,17,18,41,50,56,0.1722007722007722
